Latitude,Longitude,Easting,Northing,Zone,Zone Quadrant
50.8861042672603,-121.479726071402,606935.4236073211,5638260.253761474,10,U
50.8860460400065,-121.479728042858,606935.4182667834,5638253.776405517,10,U
50.8859905451927,-121.479726256492,606935.6709809224,5638247.608322333,10,U
50.8859211687758,-121.479721011199,606936.1987690912,5638239.90170307,10,U
50.8858699226712,-121.47971655048,606936.629860366,5638234.209922977,10,U
50.8858299950745,-121.479692300835,606938.4269222945,5638229.80535144,10,U
50.8858015261897,-121.479687517319,606938.8285660439,5638226.646721066,10,U
50.8857687565094,-121.479679123592,606939.4939884788,5638223.015098757,10,U
50.8857338053954,-121.479674495932,606939.8995137236,5638219.135460089,10,U
50.8856769418457,-121.479671769833,606940.2214646045,5638212.816543763,10,U
50.8856292139825,-121.479667157526,606940.6551670809,5638207.516189758,10,U
50.8855632388765,-121.479661522855,606941.2025628133,5638200.188339413,10,U
50.8855255006553,-121.47964620368,606942.3664822201,5638196.0142785935,10,U
50.8854876936383,-121.479634718378,606943.2608971524,5638191.827015108,10,U
50.8854589685318,-121.479643475734,606942.7107052892,5638188.620281409,10,U
50.8854173579866,-121.479662724645,606941.4520707146,5638183.965572542,10,U
50.88537698345,-121.479673743846,606940.7694592178,5638179.460220517,10,U
50.885352957744,-121.479680767485,606940.3304486332,5638176.7785417475,10,U
50.8852970689166,-121.479683656447,606940.2552189337,5638170.559875676,10,U
50.885259719113,-121.47969309342,606939.6769680901,5638166.393146707,10,U
50.8852199472848,-121.479708538046,606938.681698308,5638161.948402593,10,U
50.8851829463296,-121.479727685795,606937.4196133349,5638157.80639858,10,U
50.8851557078725,-121.479761907132,606935.0749325678,5638154.728090475,10,U
50.8851361588361,-121.479779228953,606933.9013161156,5638152.52927417,10,U
50.8851014754804,-121.479803280854,606932.2889713999,5638148.637870973,10,U
50.8850514466924,-121.479838778762,606929.9066710406,5638143.023576926,10,U
50.8850209824704,-121.47985949256,606928.5194554017,5638139.606150334,10,U
50.8849912667717,-121.479869238016,606927.9020142572,5638136.287840075,10,U
50.8849628082608,-121.47988881874,606926.5899014133,5638133.095077343,10,U
50.8849362460714,-121.479901283022,606925.7740015738,5638130.123480029,10,U
50.8849120553278,-121.479911868673,606925.0848106996,5638127.418293187,10,U
50.8849007129221,-121.479916387482,606924.7929339263,5638126.150545777,10,U
50.8848902514133,-121.479921343648,606924.4682774369,5638124.980115124,10,U
50.8848816662277,-121.47992442393,606924.2712712138,5638124.021036335,10,U
50.8848742140185,-121.479927239065,606924.0903210222,5638123.188321294,10,U
50.8848664875684,-121.479931257907,606923.8253321585,5638122.323369216,10,U
50.884853865733,-121.479936032475,606923.5183942097,5638120.9129870795,10,U
50.8848248547701,-121.47995191156,606922.4679055043,5638117.664157103,10,U
50.8847932603126,-121.479967837828,606921.4200110566,5638114.127990914,10,U
50.8847830694258,-121.47997237776,606921.1240105327,5638112.988254726,10,U
50.8847688553219,-121.479977972117,606920.763053841,5638111.399635502,10,U
50.8847517804344,-121.479983824022,606920.3905305974,5638109.492542447,10,U
50.8847226303552,-121.479992677255,606919.8345422569,5638106.238418766,10,U
50.8846870060586,-121.480008280003,606918.818624496,5638102.254629314,10,U
50.8846567874526,-121.480024386248,606917.7549149744,5638098.8711893,10,U
50.884630986572,-121.480038455404,606916.8243765511,5638095.981922334,10,U
50.8846061982506,-121.480048016942,606916.2085780783,5638093.211773105,10,U
50.884579876196,-121.480059339876,606915.472395869,5638090.268531979,10,U
50.8845550838513,-121.48007028122,606914.7595514826,5638087.495937534,10,U
50.8845262253547,-121.480084383333,606913.8336901736,5638084.266636082,10,U
50.8845038338511,-121.480094981065,606913.139517315,5638081.761497688,10,U
50.8844926100862,-121.480101367844,606912.7159724012,5638080.504238311,10,U
50.8844756046712,-121.480110328933,606912.1245884659,5638078.600368689,10,U
50.8844412476719,-121.480121943411,606911.3862871986,5638074.763271521,10,U
50.8844412476719,-121.480121943411,606911.3862871986,5638074.763271521,10,U
